,Film,Year,Rotten Tomatoes' Top 100
0,Parasite,2019,6
1,Lord of the Rings: The Fellowship of the Ring,2001,unranked
2,Avengers: Endgame,2019,7
3,Spider-Man: Into the Spider-verse,2018,19
4,The Dark Knight,2008,unranked
5,Mad Max: Fury Road,2015,18
6,Inception,2010,unranked
7,Lord of the Rings: Return of the King,2003,unranked
8,Lord of the Rings: The Two Towers,2002,unranked
9,Interstellar,2014,unranked
10,Avengers: Infinity War,2018,unranked
11,Gladiator,2000,unranked
12,Get Out,2017,15
13,Moonlight,2016,20
14,Spirited Away,2001,unranked
15,Lady Bird,2017,12
16,Black Panther,2018,5
17,Whiplash,2014,unranked
18,Mulholland Drive,2001,unranked
19,In the Mood for Love,2000,unranked
20,A Quiet Place,2018,29
21,Coco,2017,37
22,Logan,2017,34
23,Thor: Ragnarok,2017,42
24,Eternal Sunshine of the Spotless Mind,2004,unranked
