2023-Nov-03-19:27:39, Preliminaries complete. Initiating ETL process
2023-Nov-03-19:27:40, Data extraction complete. Initiating Transformation process
2023-Nov-03-20:38:06, Preliminaries complete. Initiating ETL process
2023-Nov-03-20:38:07, Data extraction complete. Initiating Transformation process
2023-Nov-03-20:38:07, Data transformation complete. Initiating loading process
2023-Nov-03-20:38:07, Data saved to CSV file
2023-Nov-03-20:38:07, SQL Connection initiated
2023-Nov-03-20:38:07, Data loaded to Database as table. Running the query
2023-Nov-03-21:41:36, Preliminaries complete. Initiating ETL process
2023-Nov-03-21:41:37, Data extraction complete. Initiating Transformation process
2023-Nov-03-21:41:38, Data transformation complete. Initiating loading process
2023-Nov-03-21:41:38, Data saved to CSV file
2023-Nov-03-21:41:38, SQL Connection initiated
2023-Nov-03-21:41:38, Data loaded to Database as table. Running the query
2023-Nov-03-21:41:38, Process Complete
2023-Nov-03-21:51:44, Preliminaries complete. Initiating ETL process
2023-Nov-03-21:51:45, Data extraction complete. Initiating Transformation process
2023-Nov-03-21:51:45, Data transformation complete. Initiating loading process
2023-Nov-03-21:51:45, Data saved to CSV file
2023-Nov-03-21:51:45, SQL Connection initiated
2023-Nov-03-21:51:45, Data loaded to Database as table. Running the query
2023-Nov-03-21:51:45, Process Complete
